,Komentar,Sentimen
0,mana ada gaji pppk ditransfer ke daerah kalau itu yang terjadi pasti daerah sudah gak ragu lagi mengajukan formasi pppk sehingga nadiem gak perlu melontarkan ide marketplace guru,Negatif
1,menpanrb dukung nadiem rekrut guru lewat marketplace ,Positif
2,marketplace guru ala nadiem makarim  menguntungkan atau justru merugikan  kementrian pendidikan kebudayaan riset dan teknologi dirjen pelestarian budaya dan pengembangan teknologi belum lama ini mendikbudristek ri bapak nadiem makarim sedang membuat marketplace guru ,Positif
4,sudah dengar wacana marketplace guru mendikbudristek nadiem makarim mengusung rencana pembuatan marketplace guru atau database berisi talent pool guru sekolah dapat mengakses marketplace guru dan merekrut guru sesuai kebutuhan akan tetapi wacana ini menuai pro kontra ,Negatif
5, dpr marketplace guru tak selesaikan akar masalah tenaga pendidik indonesia ketua komisi x dpr ri syaiful huda menilai gagasan mendikbudristek nadiem makarim tentang marketplace guru tidak menyelesaikan akar permasalahan tenaga pendidikan di indonesia menurutnya marketplace guru dinilai hanya menjawab isu distribusi guru saja,Negatif
6,marketplace guru akankah menjadi solusi untuk penuhi kebutuhan tenaga pendidik mendikbudristek nadiem anwar makarim sedang menyiapkan konsep baru dalam dunia pendidikan ide tersebut    via ,Negatif
7,terobosan naon kurikulum yang nyusahin guru itu progam magang dibayar tapi duitnya seret hingga setiap batchnya diprotes peserta program iisma yang bias kelas dan ga jelas outputnya itu program marketplace guru yang absurd oiya nadiem aja gabisa bedain pendidikan vokasi dan universitas  masa yang kayak gitu dibilang terobosan sih ,Negatif
8,soal rekrutmen guru honorer nadiem makarim berikan  solusi salah satunya melalui marketplace guru ,Positif
9,apakah guru itu barang ya sampai masuk marketplace kayak yang ada di facebook entar itu barang guru sampai si kurirnya teriak didepan pintu permisi paket,Negatif
11,tanda kemunduran dan menuju kehancuran pendidikan kita tatkala nadiem tidak memuliakan pemberi ilmu atau guru bagaimana mungkin bangsa ini bisa besar sementara gurunya tdk dimuliakan kebijakan marketplace guru adalah bukti paling nyata hilangnya memuliakan guru di satu sisi ,Negatif
12,janji nadiem  persen ngawur sebab sangat sarat bermuatan politis nadiem sedang pansos dan cari simpati publik jgn lupa bahwa sederet masalah di kemendikbud sejak nadiem jd menteri yg terbaru soal marketplace guru hingga nasib guru honorer dgn gaji rendah ,Negatif
13,memang susah pendidikan di indonesia sudah terkapitalisasi dari bawah sampai ke atas karena memang komoditas yg menggiurkan pembukaan uud yang berbunyi setiap warga negara berhak mendapat pendidikan is definitely a bullshit nadiem aja fokusnya bikin marketplace guru,Negatif
17,prokontra marketplace guru ala menteri nadiem ,Negatif
18,nadiem usul pembentukan marketplace guru pada  namanya ruang talenta guru ,Positif
19,nadiem ibaratkan guru seperti barang di pasar aplikasi marketplace guru disoroti ,Negatif
20,nah kalo ini yg bikin aku pengen nadiem segera diganti aja please segala marketplace marketplace guru profesi guru udh gada harga dirinya dimata mentrinya sendiri,Negatif
21,guru banyak tp menumpuk dikota meratanya yg belum sampai daerah terpencil jd bkn masalah order guru lah soal marketplace guru pengamat nilai nadiem tak paham kondisi pendidikan indonesia ,Negatif
22,soal marketplace guru pengamat nilai nadiem tak paham kondisi pendidikan indonesia ,Negatif
23,sentil marketplace guru usulan nadiem pengamat sebut pr lebih besar ,Negatif
24,solusi nadiem bikin marketplace guru ,Positif
25,wacana nadiem bikin marketplace guru banjir kritik dari gurupengamat  lewat com,Negatif
26,emang kadang nadiem bener bikin guru masuk marketplace kalau begini ,Positif
27,pabelan tv penerapan sistem marketplace dalam perekrutan guru yang diperkenalkan oleh nadiem makarim selaku menteri pendidikan kebudayaan riset dan teknologi mendikbudristek belakangan ini tengah menjadi sorotan,Negatif
