,user,date,renderedContent
0,NurcahyadiNurc1,2023-06-24 11:09:58+00:00,"@motodobel @AhmadRoyhan33 @prastow Mana ada gaji PPPK ditransfer ke daerah, kalau itu yang terjadi pasti daerah sudah gak ragu lagi mengajukan formasi PPPK sehingga Nadiem gak perlu melontarkan ide marketplace guru."
1,CNNIndonesia,2023-06-24 00:02:34+00:00,"Menpan-RB Dukung Nadiem Rekrut Guru Lewat Marketplace
https://t.co/8vxLs5F72u"
2,demaiainpng,2023-06-23 06:32:52+00:00,"MARKETPLACE GURU ALA NADIEM MAKARIM : MENGUNTUNGKAN ATAU JUSTRU MERUGIKAN ?

Kementrian Pendidikan, Kebudayaan, Riset, dan Teknologi (Dirjen Pelestarian Budaya dan Pengembangan Teknologi) Belum lama ini, Mendikbudristek RI Bapak Nadiem Makarim sedang membuat (Marketplace Guru) https://t.co/WeqGk2fzEw"
3,kanakaprivate,2023-06-23 05:58:33+00:00,"PGRI: Marketplace Guru Adalah Ide Brilian, Namun Tidak Untuk Sekolah Negeri: Gagasan Mendikbudristek Nadiem Makariem yang akan membuat layanan marketplace atau toko online untuk merekrut guru banyak mendapat sorotan. Persatuan Guru Republik Indonesia… https://t.co/pnEsZpXFV1 https://t.co/ptVoQPyFU0"
4,TMIHARINI,2023-06-20 09:09:27+00:00,"Sudah dengar wacana marketplace guru?

Mendikbudristek Nadiem Makarim mengusung rencana pembuatan 'marketplace guru' atau database berisi talent pool guru

Sekolah dapat mengakses 'marketplace guru' dan merekrut guru sesuai kebutuhan

Akan tetapi, wacana ini menuai pro kontra https://t.co/czsHuMwDGH"
5,AlphaARachman,2023-06-19 21:19:31+00:00,"https://t.co/cL8a63YnbB

DPR: Marketplace Guru Tak Selesaikan Akar Masalah Tenaga Pendidik Indonesia

KETUA  Komisi X DPR RI Syaiful Huda @SyaifulHooda menilai gagasan Mendikbudristek Nadiem Makarim tentang marketplace guru tidak menyelesaikan akar permasalahan tenaga pendidikan di Indonesia.

Menurutnya, marketplace guru dinilai hanya menjawab isu distribusi guru saja."
6,beritajatimcom,2023-06-19 17:00:04+00:00,"Marketplace Guru, Akankah Menjadi Solusi untuk Penuhi Kebutuhan Tenaga Pendidik?.

Mendikbudristek Nadiem Anwar Makarim sedang menyiapkan konsep baru dalam dunia pendidikan. Ide tersebut… #PendidikanKesehatan #guru #KemendikbudRistek via @beritajatimcom https://t.co/JWH3v7rFox"
7,fmuchtar_,2023-06-18 17:01:27+00:00,"Terobosan naon? 
Kurikulum yang nyusahin guru itu? 
Progam magang dibayar tapi duitnya seret hingga setiap batchnya diprotes peserta?
Program IISMA yang bias kelas dan ga jelas outputnya itu? 
Program marketplace guru yang absurd? 
Oiya nadiem aja gabisa bedain pendidikan Vokasi dan Universitas 🤧🤡
Masa yang kayak gitu dibilang terobosan sih 🥱🥱🥱"
8,RagamIndones1a,2023-06-18 13:09:03+00:00,"Soal Rekrutmen Guru Honorer, Nadiem Makarim Berikan 3 Solusi, Salah Satunya Melalui Marketplace Guru https://t.co/4Isz3nCj0g"
9,FurqanIbr64677,2023-06-18 01:12:37+00:00,"@MelodiAsyik @DemokrasiMartir @Nadiem_Makarim Apakah GURU itu barang ya sampai masuk marketplace kayak yang ada di facebook. 
Entar itu barang GURU sampai, si kurirnya teriak didepan pintu, permisi, paket...??!!!"
10,zonajakarta1,2023-06-17 23:23:28+00:00,"Soal Rekrutmen Guru Honorer, Nadiem Makarim Berikan 3 Solusi, Salah Satunya Melalui Marketplace Guru https://t.co/PKqsaGz5eS"
11,DemokrasiMartir,2023-06-17 15:18:23+00:00,"Tanda kemunduran dan menuju kehancuran pendidikan kita tatkala Nadiem tidak memuliakan pemberi ilmu atau Guru. Bagaimana mungkin bangsa ini bisa besar sementara Gurunya tdk dimuliakan. Kebijakan Marketplace Guru adalah bukti paling nyata hilangnya memuliakan Guru, di satu sisi https://t.co/7Wmpia7lMV"
12,DemokrasiMartir,2023-06-16 16:03:56+00:00,Janji Nadiem 100 persen ngawur sebab sangat sarat bermuatan politis. Nadiem sedang pansos dan cari simpati publik. Jgn lupa bahwa sederet masalah di Kemendikbud sejak Nadiem jd menteri. Yg terbaru soal Marketplace Guru hingga nasib Guru Honorer dgn gaji rendah https://t.co/pGJYp5qQP7
13,MhmmdMin,2023-06-16 13:02:13+00:00,"Memang susah. Pendidikan di Indonesia sudah terkapitalisasi dari bawah sampai ke atas, karena memang komoditas yg menggiurkan. Pembukaan UUD yang berbunyi “Setiap warga negara berhak mendapat pendidikan” is definitely a bullshit. Nadiem aja fokusnya bikin marketplace guru."
14,KATADATAcoid,2023-06-16 11:00:38+00:00,"Mendikbudristek Nadiem Makarim mengusulkan pembentukan marketplace guru. Lokapasar ini merupakan pangkalan data berisi profil guru, yang rencananya mulai berlaku pada 2024.

Namun, ide itu justru menimbulkan polemik. Apa sebabnya? Baca selengkapnya: https://t.co/dNuXA89VTo #guru"
15,RagamIndones1a,2023-06-16 10:07:02+00:00,"Soal Rekrutmen Guru Honorer, Nadiem Makarim Berikan 3 Solusi, Salah Satunya Melalui Marketplace Guru https://t.co/4Isz3nCj0g"
16,zonajakarta1,2023-06-16 10:06:53+00:00,"Soal Rekrutmen Guru Honorer, Nadiem Makarim Berikan 3 Solusi, Salah Satunya Melalui Marketplace Guru https://t.co/PKqsaGz5eS"
17,KATADATAcoid,2023-06-16 06:36:04+00:00,Pro-Kontra Marketplace Guru ala Menteri Nadiem https://t.co/mi5cVvy7YH
18,jawapos,2023-06-15 00:59:26+00:00,"Nadiem Usul Pembentukan Marketplace Guru pada 2024, Namanya Ruang Talenta Guru https://t.co/lVNIEXjCo0"
19,bukamata18,2023-06-14 11:05:06+00:00,"Nadiem Ibaratkan Guru Seperti Barang di Pasar, Aplikasi Marketplace Guru Disoroti @nadiemmakarim  https://t.co/UiVhRFRZZp"
20,corazonltmymken,2023-06-14 06:44:22+00:00,Nah kalo ini yg bikin aku pengen nadiem segera diganti aja please. Segala marketplace marketplace guru. Profesi guru udh gada harga dirinya dimata mentrinya sendiri
