,Komentar
0,"@motodobel @AhmadRoyhan33 @prastow Mana ada gaji PPPK ditransfer ke daerah, kalau itu yang terjadi pasti daerah sudah gak ragu lagi mengajukan formasi PPPK sehingga Nadiem gak perlu melontarkan ide marketplace guru."
1,"Menpan-RB Dukung Nadiem Rekrut Guru Lewat Marketplace
https://t.co/8vxLs5F72u"
2,"MARKETPLACE GURU ALA NADIEM MAKARIM : MENGUNTUNGKAN ATAU JUSTRU MERUGIKAN ?

Kementrian Pendidikan, Kebudayaan, Riset, dan Teknologi (Dirjen Pelestarian Budaya dan Pengembangan Teknologi) Belum lama ini, Mendikbudristek RI Bapak Nadiem Makarim sedang membuat (Marketplace Guru) https://t.co/WeqGk2fzEw"
3,"PGRI: Marketplace Guru Adalah Ide Brilian, Namun Tidak Untuk Sekolah Negeri: Gagasan Mendikbudristek Nadiem Makariem yang akan membuat layanan marketplace atau toko online untuk merekrut guru banyak mendapat sorotan. Persatuan Guru Republik Indonesia… https://t.co/pnEsZpXFV1 https://t.co/ptVoQPyFU0"
4,"Sudah dengar wacana marketplace guru?

Mendikbudristek Nadiem Makarim mengusung rencana pembuatan 'marketplace guru' atau database berisi talent pool guru

Sekolah dapat mengakses 'marketplace guru' dan merekrut guru sesuai kebutuhan

Akan tetapi, wacana ini menuai pro kontra https://t.co/czsHuMwDGH"
5,"https://t.co/cL8a63YnbB

DPR: Marketplace Guru Tak Selesaikan Akar Masalah Tenaga Pendidik Indonesia

KETUA  Komisi X DPR RI Syaiful Huda @SyaifulHooda menilai gagasan Mendikbudristek Nadiem Makarim tentang marketplace guru tidak menyelesaikan akar permasalahan tenaga pendidikan di Indonesia.

Menurutnya, marketplace guru dinilai hanya menjawab isu distribusi guru saja."
6,"Marketplace Guru, Akankah Menjadi Solusi untuk Penuhi Kebutuhan Tenaga Pendidik?.

Mendikbudristek Nadiem Anwar Makarim sedang menyiapkan konsep baru dalam dunia pendidikan. Ide tersebut… #PendidikanKesehatan #guru #KemendikbudRistek via @beritajatimcom https://t.co/JWH3v7rFox"
7,"Terobosan naon? 
Kurikulum yang nyusahin guru itu? 
Progam magang dibayar tapi duitnya seret hingga setiap batchnya diprotes peserta?
Program IISMA yang bias kelas dan ga jelas outputnya itu? 
Program marketplace guru yang absurd? 
Oiya nadiem aja gabisa bedain pendidikan Vokasi dan Universitas 🤧🤡
Masa yang kayak gitu dibilang terobosan sih 🥱🥱🥱"
8,"Soal Rekrutmen Guru Honorer, Nadiem Makarim Berikan 3 Solusi, Salah Satunya Melalui Marketplace Guru https://t.co/4Isz3nCj0g"
9,"@MelodiAsyik @DemokrasiMartir @Nadiem_Makarim Apakah GURU itu barang ya sampai masuk marketplace kayak yang ada di facebook. 
Entar itu barang GURU sampai, si kurirnya teriak didepan pintu, permisi, paket...??!!!"
10,"Soal Rekrutmen Guru Honorer, Nadiem Makarim Berikan 3 Solusi, Salah Satunya Melalui Marketplace Guru https://t.co/PKqsaGz5eS"
11,"Tanda kemunduran dan menuju kehancuran pendidikan kita tatkala Nadiem tidak memuliakan pemberi ilmu atau Guru. Bagaimana mungkin bangsa ini bisa besar sementara Gurunya tdk dimuliakan. Kebijakan Marketplace Guru adalah bukti paling nyata hilangnya memuliakan Guru, di satu sisi https://t.co/7Wmpia7lMV"
12,Janji Nadiem 100 persen ngawur sebab sangat sarat bermuatan politis. Nadiem sedang pansos dan cari simpati publik. Jgn lupa bahwa sederet masalah di Kemendikbud sejak Nadiem jd menteri. Yg terbaru soal Marketplace Guru hingga nasib Guru Honorer dgn gaji rendah https://t.co/pGJYp5qQP7
13,"Memang susah. Pendidikan di Indonesia sudah terkapitalisasi dari bawah sampai ke atas, karena memang komoditas yg menggiurkan. Pembukaan UUD yang berbunyi “Setiap warga negara berhak mendapat pendidikan” is definitely a bullshit. Nadiem aja fokusnya bikin marketplace guru."
14,"Mendikbudristek Nadiem Makarim mengusulkan pembentukan marketplace guru. Lokapasar ini merupakan pangkalan data berisi profil guru, yang rencananya mulai berlaku pada 2024.

Namun, ide itu justru menimbulkan polemik. Apa sebabnya? Baca selengkapnya: https://t.co/dNuXA89VTo #guru"
15,"Soal Rekrutmen Guru Honorer, Nadiem Makarim Berikan 3 Solusi, Salah Satunya Melalui Marketplace Guru https://t.co/4Isz3nCj0g"
16,"Soal Rekrutmen Guru Honorer, Nadiem Makarim Berikan 3 Solusi, Salah Satunya Melalui Marketplace Guru https://t.co/PKqsaGz5eS"
17,Pro-Kontra Marketplace Guru ala Menteri Nadiem https://t.co/mi5cVvy7YH
18,"Nadiem Usul Pembentukan Marketplace Guru pada 2024, Namanya Ruang Talenta Guru https://t.co/lVNIEXjCo0"
19,"Nadiem Ibaratkan Guru Seperti Barang di Pasar, Aplikasi Marketplace Guru Disoroti @nadiemmakarim  https://t.co/UiVhRFRZZp"
20,Nah kalo ini yg bikin aku pengen nadiem segera diganti aja please. Segala marketplace marketplace guru. Profesi guru udh gada harga dirinya dimata mentrinya sendiri
21,"Guru banyak tp menumpuk dikota, meratanya yg belum sampai daerah terpencil, jd bkn masalah order guru lah.
Soal Marketplace Guru, Pengamat Nilai Nadiem Tak Paham Kondisi Pendidikan Indonesia https://t.co/ZCRCd1TC2j"
22,"Soal Marketplace Guru, Pengamat Nilai Nadiem Tak Paham Kondisi Pendidikan Indonesia https://t.co/Qbh8ghxLeQ"
23,"Sentil Marketplace Guru Usulan Nadiem, Pengamat Sebut PR Lebih Besar https://t.co/7YYZ7iQT5F"
24,Solusi nadiem :bikin marketplace guru 😂
25,Wacana Nadiem Bikin ‘Marketplace Guru’ Banjir Kritik dari Guru-Pengamat! https://t.co/4a14Jczybt lewat @rakyatpembaruan.com
26,@mahlid_ emang kadang nadiem bener bikin guru masuk marketplace kalau begini 😭🤣
27,"[Pabelan TV]

Penerapan sistem Marketplace dalam perekrutan guru yang diperkenalkan oleh Nadiem Makarim selaku menteri Pendidikan, Kebudayaan, Riset dan Teknologi (Mendikbudristek) belakangan ini tengah menjadi sorotan."
28,"Apakah gagasan Nadiem Makarim untuk membuat platform digital marketplace guru dapat menyelesaikan persoalan karut marut guru Pegawai Pemerintah dengan Perjanjian Kerja(P3K)? @AlphaARachman
@Kemdikbud_RI @PBPGRI_OFFICIAL
@icharis simak di link ini:
https://t.co/bZWtRiLW43 https://t.co/L0Y3C6MHui"
29,"Syarat terakhir, LaNyalla meminta kepada Menteri Nadiem untuk mengganti nama platform tersebut. Bukan marketplace guru, tapi cukup menggunakan istilah platform database guru yang bersifat living dan updated. #LaNyalla"
30,Gagasan Mendikbudristek Nadiem Makarim tentang marketplace guru ramai-ramai ditolak oleh anggota Komisi X DPR RI. Para anggota DPR menilai gagasan tersebut tidak menyelesaikan akar permasalahan soal tenaga pendidikan di Indonesia. #LaNyalla https://t.co/1eOTE5q5nO
31,"Sistem pendidikan yang pernah Anies gagas saat menjadi menteri pendidikan.

Kini guru bisa di cari di marketplace oleh Nadiem Makarim, kocak 🤣😝

Cekidot 😁👇 https://t.co/crOzL8kqRN"
32,"Wakil Ketua Komisi VII DPR RI Eddy Soeparno pada Jumat (9/6/2023), mengkritik kebijakan marketplace guru, ide yang digagas oleh Menteri Pendidikan, Kebudayaaan, Riset dan Teknologi Nadiem Makarim bulan Mei lalu. #VideoBerita #AdadiKompas 

https://t.co/CE7rbu4x0f"
33,PAN Minta Nadiem Kaji Ulang Konsep Marketplace Guru: Timpang Kesejahteraan Guru yang Harus Diatasi https://t.co/XpGlV9ysWu
34,"Tak banyak partai yang KONSISTEN memebela nasib para GURU, salah satunya adl PAN

Eddy Soeparno, Sekjend DPP PAN lebih menekankan kesejateraan guru ketimbang upaya marketplace guru yg diajukan oleh Nadiem Makarim

https://t.co/wiJaSS0kD6"
35,"@DemokrasiMartir @Nadiem_Makarim @luhut_binsar Ini yg kebijakan siswa bisa milih guru yg ngajar ya? Saya liat-liat kebanyakan yg protes istilahnya ""marketplace"" daripada fungsi dan tujuan programnya. Program ini lebih bagus untuk perguruan tinggi daripada sekolah, krn utk kondisi saat ini independensi siswa masih minim."
36,"MARKETPLACE GURU: BUKAN SOLUSI TEPAT PENDIDIKAN KITA.
.
Malam Jum’at yang berbahagia namun tidak dgn Luhut, Haris Azhar dan Fatia yg abis Bersidang. Merupakan saat yg tepat utk bahas kebijakan Mendikbud Nadiem yang penuh kontroversi ini. https://t.co/4SW0MBqpCf"
37,"Nadiem bilang Marketplace guru bisa menjadi akses kepala sekolah agar dapat merekrut serta memenuhi kebutuhan guru langsung dari marketplace, tanpa harus menunggu perekrutan nasional. Tapi apakah ini solusi paling tepat untuk masalah pendidikan yang carut marut di Indonesia? https://t.co/T6r8j2wTHY"
38,"Sekilas kebijakan Nadiem soal ""Marketplace Guru"" menjanjikan dan masuk akal, namun jk dikaji lebih dlm kebijakannya dungu kalo kata Rocky Gerung. Ide soal ini mnjadi solusi agar masalah merekrut guru cepat. Kepala sekolah bs mencari guru yg dibutuhkan melalui aplikasi dgn cepat. https://t.co/kTL8vdcezG"
39,"Nadiem dan Kebijakan Ngaur Soal ""Marketplace Guru""

Mulai dari Raffi Ahmad, Sule, Komeng semuanya sepakat bhwa masalah utama guru adalah kesejahteraan bukan perekrutan guru. Apalagi Nadiem ingin membuat ""Marketplace Guru"" yg justru menimbulkan masalah baru. https://t.co/4guvMkkWIk"
40,"Ngopi dulu sambil nungguin si Nadiem bangun☕

Perdebatan dikalangan partai pun terjadi, gara2 marketplace ala Nadiem yg tdk jelas. Ia mengajukan bhw guru yg lulus PPPK sejak awal memang ga dijamin akan mendapatkan penempatan.

Begini nih kalau kurangnya komunikasi.
Jadi ngaco😂 https://t.co/NlGvQJyIqT"
41,"""JALUR TIKUS MARKETPLACE GURU ALA NADIEM"" 

Bung Madin kali ini, mau bongkar2 sisi bobrok dari ""MARKETPLACE GURU"" yg bkn hanya sekadar kebijakan belaka, melainkan tersimpan sisi bisnis, korupsi hingga memperdagangkan guru layaknya barang dagangan.

Sadisss😱 https://t.co/Wzg4s94JZL"
