,Komentar,label,truncated_label,sentiment,score
0,mana ada gaji pppk ditransfer ke daerah kalau itu yang terjadi pasti daerah sudah gak ragu lagi mengajukan formasi pppk sehingga nadiem gak perlu melontarkan ide marketplace guru,NEGATIVE,how come pppk salaries are transferred to the regions,"[{'label': 'NEGATIVE', 'score': 0.9961118102073669}]",0.9961118102073669
1,menpanrb dukung nadiem rekrut guru lewat marketplace ,NEGATIVE,b menpanrb supports Nadiem in recruiting teachers through marketplace,"[{'label': 'NEGATIVE', 'score': 0.6868945360183716}]",0.6868945360183716
2,marketplace guru ala nadiem makarim  menguntungkan atau justru merugikan  kementrian pendidikan kebudayaan riset dan teknologi dirjen pelestarian budaya dan pengembangan teknologi belum lama ini mendikbudristek ri bapak nadiem makarim sedang membuat marketplace guru ,NEGATIVE,b marketplace for teachers in the style of Nadiem Makarim is beneficial or detrimental to the Ministry of Education Culture Research and Technology the Director General of Cultural Preservation and Technology Development recently the Minister of Education and Culture of the Republic of Indonesia Mr Nadiem Makarim is building a teacher s marketplace,"[{'label': 'NEGATIVE', 'score': 0.984715461730957}]",0.984715461730957
3,pgri marketplace guru adalah ide brilian namun tidak untuk sekolah negeri gagasan mendikbudristek nadiem makariem yang akan membuat layanan marketplace atau toko online untuk merekrut guru banyak mendapat sorotan persatuan guru republik indonesia  ,POSITIVE,b pgri marketplace teacher is a brilliant idea but not for public schools the idea of the Minister of Education and Culture Nadiem Makariem who will create a marketplace service or online store to recruit teachers has received a lot of attention from the Republic of Indonesia Teachers Association,"[{'label': 'POSITIVE', 'score': 0.9969808459281921}]",0.9969808459281921
4,sudah dengar wacana marketplace guru mendikbudristek nadiem makarim mengusung rencana pembuatan marketplace guru atau database berisi talent pool guru sekolah dapat mengakses marketplace guru dan merekrut guru sesuai kebutuhan akan tetapi wacana ini menuai pro kontra ,NEGATIVE,b ve heard about teacher marketplace Mendikbudristek Nadiem Makarim carrying plans for creating a teacher marketplace or a database containing a talent pool for school teachers to be able to access the teacher marketplace and recruit teachers as needed but this discourse reaps pros and cons,"[{'label': 'NEGATIVE', 'score': 0.9885740280151367}]",0.9885740280151367
5, dpr marketplace guru tak selesaikan akar masalah tenaga pendidik indonesia ketua komisi x dpr ri syaiful huda menilai gagasan mendikbudristek nadiem makarim tentang marketplace guru tidak menyelesaikan akar permasalahan tenaga pendidikan di indonesia menurutnya marketplace guru dinilai hanya menjawab isu distribusi guru saja,NEGATIVE,b Dpr teacher marketplace does not solve the root problems of Indonesian educators Chairman of Commission X DPR RI Syaiful Huda assesses the idea of the Minister of Education and Research and Technology Nadiem Makarim regarding the teacher marketplace does not solve the root problems of education personnel in Indonesia According to him the teacher marketplace is considered only to answer the issue of teacher distribution,"[{'label': 'NEGATIVE', 'score': 0.9996045231819153}]",0.9996045231819153
6,marketplace guru akankah menjadi solusi untuk penuhi kebutuhan tenaga pendidik mendikbudristek nadiem anwar makarim sedang menyiapkan konsep baru dalam dunia pendidikan ide tersebut    via ,POSITIVE,b marketplace teachers will be a solution to meet the needs of educators Mendikbudristek Nadiem Anwar Makarim is preparing a new concept in the world of education via,"[{'label': 'POSITIVE', 'score': 0.9959957599639893}]",0.9959957599639893
7,terobosan naon kurikulum yang nyusahin guru itu progam magang dibayar tapi duitnya seret hingga setiap batchnya diprotes peserta program iisma yang bias kelas dan ga jelas outputnya itu program marketplace guru yang absurd oiya nadiem aja gabisa bedain pendidikan vokasi dan universitas  masa yang kayak gitu dibilang terobosan sih ,NEGATIVE,B breakthrough of the curriculum that makes it difficult for teachers is that the apprentice program is paid but the money is dragging on so that each batch is protested by participants in the iisma program who are class biased and the output is unclear it s an absurd teacher marketplace program oh yeah Nadiem just can t differentiate between vocational education and university It s called a breakthrough heck,"[{'label': 'NEGATIVE', 'score': 0.9975366592407227}]",0.9975366592407227
8,soal rekrutmen guru honorer nadiem makarim berikan  solusi salah satunya melalui marketplace guru ,POSITIVE,About the recruitment of honorary teachers Nadem Makarim provides a solution one of which is through the teacher marketplace,"[{'label': 'POSITIVE', 'score': 0.9545015096664429}]",0.9545015096664429
9,apakah guru itu barang ya sampai masuk marketplace kayak yang ada di facebook entar itu barang guru sampai si kurirnya teriak didepan pintu permisi paket,NEGATIVE,b Is it the teacher s goods that have entered the marketplace like those on Facebook then the teacher s goods until the courier shouts at the door excuse me package,"[{'label': 'NEGATIVE', 'score': 0.9961934089660645}]",0.9961934089660645
10,soal rekrutmen guru honorer nadiem makarim berikan  solusi salah satunya melalui marketplace guru ,POSITIVE,About the recruitment of honorary teachers Nadem Makarim provides a solution one of which is through the teacher marketplace,"[{'label': 'POSITIVE', 'score': 0.9545015096664429}]",0.9545015096664429
11,tanda kemunduran dan menuju kehancuran pendidikan kita tatkala nadiem tidak memuliakan pemberi ilmu atau guru bagaimana mungkin bangsa ini bisa besar sementara gurunya tdk dimuliakan kebijakan marketplace guru adalah bukti paling nyata hilangnya memuliakan guru di satu sisi ,NEGATIVE,a sign of decline and leading to the destruction of our education when Nadim does not glorify the giver of knowledge or teachers how can this nation be great while the teachers are not glorified the teacher marketplace policy is the clearest evidence of the loss of glorifying teachers on the one hand,"[{'label': 'NEGATIVE', 'score': 0.9996838569641113}]",0.9996838569641113
12,janji nadiem  persen ngawur sebab sangat sarat bermuatan politis nadiem sedang pansos dan cari simpati publik jgn lupa bahwa sederet masalah di kemendikbud sejak nadiem jd menteri yg terbaru soal marketplace guru hingga nasib guru honorer dgn gaji rendah ,NEGATIVE,b promise Nadiem is completely inconsequential because it is very politically laden Naem is currently working on a social committee and is looking for public sympathy Don t forget that there have been a number of problems at the Ministry of Education and Culture since Nadiem became minister most recently regarding the teacher marketplace to the fate of honorary teachers with low salaries,"[{'label': 'NEGATIVE', 'score': 0.9934002161026001}]",0.9934002161026001
