,Komentar,tokenization
0,mana ada gaji pppk ditransfer ke daerah kalau itu yang terjadi pasti daerah sudah gak ragu lagi mengajukan formasi pppk sehingga nadiem gak perlu melontarkan ide marketplace guru,"['mana', 'ada', 'gaji', 'pppk', 'ditransfer', 'ke', 'daerah', 'kalau', 'itu', 'yang', 'terjadi', 'pasti', 'daerah', 'sudah', 'gak', 'ragu', 'lagi', 'mengajukan', 'formasi', 'pppk', 'sehingga', 'nadiem', 'gak', 'perlu', 'melontarkan', 'ide', 'marketplace', 'guru']"
1,menpanrb dukung nadiem rekrut guru lewat marketplace ,"['menpanrb', 'dukung', 'nadiem', 'rekrut', 'guru', 'lewat', 'marketplace', '']"
2,marketplace guru ala nadiem makarim  menguntungkan atau justru merugikan  kementrian pendidikan kebudayaan riset dan teknologi dirjen pelestarian budaya dan pengembangan teknologi belum lama ini mendikbudristek ri bapak nadiem makarim sedang membuat marketplace guru ,"['marketplace', 'guru', 'ala', 'nadiem', 'makarim', 'menguntungkan', 'atau', 'justru', 'merugikan', 'kementrian', 'pendidikan', 'kebudayaan', 'riset', 'dan', 'teknologi', 'dirjen', 'pelestarian', 'budaya', 'dan', 'pengembangan', 'teknologi', 'belum', 'lama', 'ini', 'mendikbudristek', 'ri', 'bapak', 'nadiem', 'makarim', 'sedang', 'membuat', 'marketplace', 'guru', '']"
3,pgri marketplace guru adalah ide brilian namun tidak untuk sekolah negeri gagasan mendikbudristek nadiem makariem yang akan membuat layanan marketplace atau toko online untuk merekrut guru banyak mendapat sorotan persatuan guru republik indonesia  ,"['pgri', 'marketplace', 'guru', 'adalah', 'ide', 'brilian', 'namun', 'tidak', 'untuk', 'sekolah', 'negeri', 'gagasan', 'mendikbudristek', 'nadiem', 'makariem', 'yang', 'akan', 'membuat', 'layanan', 'marketplace', 'atau', 'toko', 'online', 'untuk', 'merekrut', 'guru', 'banyak', 'mendapat', 'sorotan', 'persatuan', 'guru', 'republik', 'indonesia', '']"
4,sudah dengar wacana marketplace guru mendikbudristek nadiem makarim mengusung rencana pembuatan marketplace guru atau database berisi talent pool guru sekolah dapat mengakses marketplace guru dan merekrut guru sesuai kebutuhan akan tetapi wacana ini menuai pro kontra ,"['sudah', 'dengar', 'wacana', 'marketplace', 'guru', 'mendikbudristek', 'nadiem', 'makarim', 'mengusung', 'rencana', 'pembuatan', 'marketplace', 'guru', 'atau', 'database', 'berisi', 'talent', 'pool', 'guru', 'sekolah', 'dapat', 'mengakses', 'marketplace', 'guru', 'dan', 'merekrut', 'guru', 'sesuai', 'kebutuhan', 'akan', 'tetapi', 'wacana', 'ini', 'menuai', 'pro', 'kontra', '']"
5, dpr marketplace guru tak selesaikan akar masalah tenaga pendidik indonesia ketua komisi x dpr ri syaiful huda menilai gagasan mendikbudristek nadiem makarim tentang marketplace guru tidak menyelesaikan akar permasalahan tenaga pendidikan di indonesia menurutnya marketplace guru dinilai hanya menjawab isu distribusi guru saja,"['', 'dpr', 'marketplace', 'guru', 'tak', 'selesaikan', 'akar', 'masalah', 'tenaga', 'pendidik', 'indonesia', 'ketua', 'komisi', 'x', 'dpr', 'ri', 'syaiful', 'huda', 'menilai', 'gagasan', 'mendikbudristek', 'nadiem', 'makarim', 'tentang', 'marketplace', 'guru', 'tidak', 'menyelesaikan', 'akar', 'permasalahan', 'tenaga', 'pendidikan', 'di', 'indonesia', 'menurutnya', 'marketplace', 'guru', 'dinilai', 'hanya', 'menjawab', 'isu', 'distribusi', 'guru', 'saja']"
6,marketplace guru akankah menjadi solusi untuk penuhi kebutuhan tenaga pendidik mendikbudristek nadiem anwar makarim sedang menyiapkan konsep baru dalam dunia pendidikan ide tersebut    via ,"['marketplace', 'guru', 'akankah', 'menjadi', 'solusi', 'untuk', 'penuhi', 'kebutuhan', 'tenaga', 'pendidik', 'mendikbudristek', 'nadiem', 'anwar', 'makarim', 'sedang', 'menyiapkan', 'konsep', 'baru', 'dalam', 'dunia', 'pendidikan', 'ide', 'tersebut', 'via', '']"
7,terobosan naon kurikulum yang nyusahin guru itu progam magang dibayar tapi duitnya seret hingga setiap batchnya diprotes peserta program iisma yang bias kelas dan ga jelas outputnya itu program marketplace guru yang absurd oiya nadiem aja gabisa bedain pendidikan vokasi dan universitas  masa yang kayak gitu dibilang terobosan sih ,"['terobosan', 'naon', 'kurikulum', 'yang', 'nyusahin', 'guru', 'itu', 'progam', 'magang', 'dibayar', 'tapi', 'duitnya', 'seret', 'hingga', 'setiap', 'batchnya', 'diprotes', 'peserta', 'program', 'iisma', 'yang', 'bias', 'kelas', 'dan', 'ga', 'jelas', 'outputnya', 'itu', 'program', 'marketplace', 'guru', 'yang', 'absurd', 'oiya', 'nadiem', 'aja', 'gabisa', 'bedain', 'pendidikan', 'vokasi', 'dan', 'universitas', 'masa', 'yang', 'kayak', 'gitu', 'dibilang', 'terobosan', 'sih', '']"
8,soal rekrutmen guru honorer nadiem makarim berikan  solusi salah satunya melalui marketplace guru ,"['soal', 'rekrutmen', 'guru', 'honorer', 'nadiem', 'makarim', 'berikan', 'solusi', 'salah', 'satunya', 'melalui', 'marketplace', 'guru', '']"
9,apakah guru itu barang ya sampai masuk marketplace kayak yang ada di facebook entar itu barang guru sampai si kurirnya teriak didepan pintu permisi paket,"['apakah', 'guru', 'itu', 'barang', 'ya', 'sampai', 'masuk', 'marketplace', 'kayak', 'yang', 'ada', 'di', 'facebook', 'entar', 'itu', 'barang', 'guru', 'sampai', 'si', 'kurirnya', 'teriak', 'didepan', 'pintu', 'permisi', 'paket']"
